company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
Kobay Technology Bhd.,GM of AI Internet Data Center (IDC),No info for Job Salary,Full time,Management (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Loans
Dental
Parking
Vision
Performance Bonus","101-1,000 employees","Manufacturing, Transport & Logistics",Penang
SD Guthrie Berhad,"Executive, Software Developer",No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Serdang, Selangor"
Capital Dynamics Asset Management Sdn Bhd,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Customisable performance based remuneration struct",51-100 employees,Banking & Financial Services,Kuala Lumpur
Astro,"AVP, Data Scientist",No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision","1,001-5,000 employees","Broadcast Media, Entertainment and Publishing",Kuala Lumpur
Data Analytics,Senior Data Scientist (Analytics) - Ads,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Data Analytics,Lead Data Scientist (Analytics) - Mobility,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Western Digital,"(Masters Graduate) Senior Engineer, Sputter Engineering",No info for Job Salary,Full time,Process Engineering (Engineering),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
PowTech Solution (M) Sdn. Bhd,Python Backend Developer (FastAPI),"RM 6,000 - RM 9,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Selangor
SHINOLOGIC SDN. BHD.,Software Engineer (AI machine learning background),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
BASF Asia Pacific Service Centre Sdn Bhd,Data Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Vision","101-1,000 employees",Science & Technology,Kuala Lumpur
EKKLESIA SOLUTIONS SDN. BHD.,HRMS & AI Platform Sales Consultant,"RM 4,000 - RM 5,000 per month",Contract/Temp,Sales - Pre & Post (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
CelcomDigi,Data DevOps Specialist,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.4,"Medical
Flex Plan, Device Voucher, 6-months maternity leav","1,001-5,000 employees",Telecommunications & Internet Service Providers,"Subang Jaya, Selangor"
Data Analytics,Lead Data Scientist (Analytics) - Fulfilment,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Citibank,"Assistant Vice President, Fraud Data Engineer - Hybrid",No info for Job Salary,Full time,Analysis & Reporting (Banking & Financial Services),4,"Education support
Loans
Vision
Healthcare allowance","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
NielsenIQ,Data Processing Specialist (AU_RD),No info for Job Salary,Full time,Account & Relationship Management (Sales),3.5,"Medical
Parking","101-1,000 employees",Consulting Services,"Subang Jaya, Selangor"
INMAGINE,Generative AI Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.6,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision
Free meal, Medical Check Up","101-1,000 employees",Services,"Petaling, Selangor"
GLOBAL DEVELOPMENT TECHNOLOGY SDN.BHD.,Data Center Engineer,"RM 4,500 - RM 6,000 per month",Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Cyberjaya, Selangor"
RAZER MERCHANT SERVICES SDN. BHD.,Software Engineer - AIOps,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision",51-100 employees,Banking & Financial Services,"Shah Alam, Selangor"
Zurich Insurance Malaysia Berhad,"Data Engineer, APAC",No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.1,"Miscellaneous allowance
Monthly Incentive, Free Oversea Convention",11-50 employees,Insurance,Kuala Lumpur
BASS (M) Sdn Bhd,Technical Data Support (Contract),No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),3.9,"Medical
Miscellaneous allowance
Insurance",51-100 employees,Computer Software & Networking,Kuala Lumpur
Dell Global Business Center Sdn Bhd,"Principal Software Engineer, Machine Learning (AI Senior Role)",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.4,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision","1,001-5,000 employees",Computer Software & Networking,"Cyberjaya, Selangor"
Robert Bosch Semiconductor Manufacturing Penang Sdn. Bhd.,Senior/Staff Digitalization Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.2,"Medical
Dental
Leave Entitlement e.g: Annual Leave, Medical Leave",51-100 employees,Consumer Electronics Manufacturing,Penang
Avaland Berhad,"Manager, Power Platform Developer",No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),2.7,"Medical
Dental
Parking
Vision
Insurance GHS & GPA, Professional Membership, Disc","101-1,000 employees",Real Estate & Property,"Subang Jaya, Selangor"
BASF Asia Pacific Service Centre Sdn Bhd,DevOps Tools Consultant,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Vision","101-1,000 employees",Science & Technology,Kuala Lumpur
Stealth Solutions Sdn Bhd,PRINCIPAL / SENIOR ENGINEER (TELECOMMUNICATIONS DATA CENTRE & ELECTRICAL POWER),"RM 8,000 - RM 9,000 per month",Contract/Temp,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,"101-1,000 employees",Construction,"Petaling Jaya, Selangor"
Data Analytics,Lead Data Scientist (Analytics) - Omnicommerce,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
FootfallCam,Graduate Software Engineer / Developer,"RM 3,800 - RM 5,700 per month",Full time,Engineering - Software (Information & Communication Technology),3.8,"Medical
Parking
Staff Birthday Celebrations",51-100 employees,Computer Software & Networking,Kuala Lumpur
Western Digital,"Staff Engineer, Data Science",No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
SEEK,Staff Engineer - Search (Hybrid Working),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
PLUS Berhad,"Engineer, Traffic Monitoring Centre",No info for Job Salary,Full time,Systems Engineering (Engineering),4.1,"Medical
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Services,"Petaling Jaya, Selangor"
BUMIRIA DINAMIK SDN BHD,Fraud Data Engineer - Hybrid,No info for Job Salary,Full time,Analysis & Reporting (Banking & Financial Services),No info for Company Review,"Medical
Parking
Bonus, Attendance Allowance",51-100 employees,Retail & Consumer Products,Kuala Lumpur
Zentact Systems Sdn Bhd,SAP Data Migration Specialist,"RM 10,000 - RM 13,000 per month",Full time,Consultants (Information & Communication Technology),No info for Company Review,"Medical
Education support
Vision",11-50 employees,Computer Software & Networking,"Subang Jaya, Selangor"
BP Global Business Service Centre Asia,Data Science Lead (People Insights Analytics),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),3.8,Medical,"101-1,000 employees",Oil & Gas Extraction & Refinement,Kuala Lumpur
Zurich Insurance Malaysia Berhad,Data Scientist Specialist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.1,"Miscellaneous allowance
Monthly Incentive, Free Oversea Convention",11-50 employees,Insurance,Kuala Lumpur
Avanade Malaysia Sdn Bhd,Power BI Developer,"RM 8,000 per month",Full time,Developers/Programmers (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision
Training & Microsoft Certificate",51-100 employees,Computer Software & Networking,Kuala Lumpur
Neostra Technology Sdn Bhd,ENGINEERING MANAGER - PIONEER TEAM,"RM 10,000 - RM 14,000 per month",Full time,Management (Engineering),No info for Company Review,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking",11-50 employees,"Manufacturing, Transport & Logistics","Senai, Johor"
Jobstreet by SEEK,Data Analyst - Growth (Hybrid Working),No info for Job Salary,Full time,Analysts (Consulting & Strategy),4.2,"Flexible Working Arrangements
Learning & Development
Extensive Medical & Insurance Coverage
Attractive Employer EPF Contribution
Wide Range of Leave Offerings
Global Employee Share Plan","101-1,000 employees",Information & Communication Technology,Kuala Lumpur
Western Digital,"Principal Engineer, Data Engineering",No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
Spirit AeroSystems Malaysia Sdn Bhd,Senior Manufacturing Engineer,No info for Job Salary,Full time,Mechanical Engineering (Engineering),4.4,"Medical
Dental","101-1,000 employees",Airlines/Aviation,"Subang Airport, Selangor"
Sun Healthcare (M) Sdn Bhd,Data Analysis,No info for Job Salary,Full time,"Quality Assurance & Control (Manufacturing, Transport & Logistics)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Terrabit Consulting Sdn Bhd,DevOps Engineer,"RM 6,000 - RM 9,000 per month",Full time,Engineering - Software (Information & Communication Technology),3,"Medical
Miscellaneous allowance
Loans
Parking","101-1,000 employees",Information & Communication Technology,"Cyberjaya, Selangor"
Agensi Pekerjaan RecruitFirst Sdn Bhd,Software Engineer (Hybrid),"RM 6,000 - RM 8,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,11-50 employees,Human Resources & Recruitment,Kuala Lumpur
Data Science,Lead Data Scientist - Search & Personalisation,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Science Valley Retes Sdn Bhd,Data Analyst,"RM 4,300 - RM 6,400 per month",Full time,Business/Systems Analysts (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
Western Digital,"Principal Engineer, Quality System Analyst (Data Engineering)",No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
Western Digital,"Senior Engineer, Data Analytics Engineering",No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
Shopee Mobile Malaysia Sdn Bhd,"Data Center Site Operations Engineer, Infrastructure (Kulai, Johor)",No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.1,"Medical
Dental","1,001-5,000 employees",Retail & Consumer Products,Kuala Lumpur
AirAsia,Data Scientist Intern,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Dental
Medical
Staff discount for Flights and many more","101-1,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
SEEK,Engineering Manager - Technology Growth & Incubation (Hybrid Working),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Wanzu Engineering Sdn Bhd,Technical Engineer,"RM 3,000 - RM 4,500 per month",Full time,Engineering - Hardware (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Batu Caves, Selangor"
Western Digital,"Scientist 2, Data Science",No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Petaling, Selangor"
ATOZ SOFTWARE TECH SDN. BHD.,Senior AI Engineer (AI/ML),"RM 8,000 - RM 10,000 per month",Full time,Engineering - Software (Information & Communication Technology),4.8,"Miscellaneous allowance
Education support
Epf, Socso, Eis, bonus",51-100 employees,Computer Software & Networking,"Johor Bahru, Johor"
PPG Coatings (M) Sdn Bhd,Data Engineer Analyst I,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Shah Alam, Selangor"
Hytech Consulting Management Sdn Bhd,DevOps Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),3.2,"Medical
Dental
Staff Hospitalisation Insurance, Birthday gift & c","101-1,000 employees",Computer Software & Networking,"KL Eco City, Kuala Lumpur"
Aker Solutions,Senior Instrument Engineer - Control System,RM 80 - RM 100 per hour,Contract/Temp,Electrical/Electronic Engineering (Engineering),4,"Medical
Dental","1,001-5,000 employees",Oil & Gas Extraction & Refinement,Kuala Lumpur
Benchmark Electronics (M) Sdn Bhd,Change Analyst,No info for Job Salary,Full time,Field Engineering (Engineering),3.7,"Medical
Miscellaneous allowance
Education support
Dental
Parking
Vision","101-1,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
AirAsia,Senior Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Dental
Medical
Staff discount for Flights and many more","101-1,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
PCL INTERNATIONAL TECHNOLOGIES (PENANG) SDN. BHD.,Front-End (Die Attach Wire Bonding) Technician,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Batu Kawan, Penang"
Carsem (M) Sdn. Bhd,Engineer with EOL Background,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),3.8,"Medical
Education support
Dental
Parking
Medical for immediate family members, car subsidy","More than 10,000 employees","Manufacturing, Transport & Logistics","Ipoh, Perak"
Data Science,Machine Learning Engineer - Trust and Fraud,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
TRADER2U SDN. BHD.,DevOps Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,Company Trip,51-100 employees,Wholesale Businesses,Kuala Lumpur
RHB Banking Group,"Snr Analyst, Ent Data Pltfrm (1010934)",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Sports (e.g. Gym)
Parking
Vision
Performance Incentive Scheme","More than 10,000 employees",Banking & Financial Services,"Kuala Lumpur City Centre, Kuala Lumpur"
BUTTERFLY INNOVATIVE TECHNOLOGIES SDN. BHD.,Junior Computer Vision Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,11-50 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
RHB Banking Group,"Snr Analyst, Ent Data Pltfrm (1010935)",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Sports (e.g. Gym)
Parking
Vision
Performance Incentive Scheme","More than 10,000 employees",Banking & Financial Services,"Kuala Lumpur City Centre, Kuala Lumpur"
SEEK,Senior Growth Analyst (Hybrid Working),No info for Job Salary,Full time,Analysts (Consulting & Strategy),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Data Analytics,Senior Data Scientist (Analytics) - Omnicommerce,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Motorola Solutions Malaysia Sdn Bhd,Senior Software Engineer (Orchestrate DevOps),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision
Flexi working hours, cafeteria subsidy","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
Encora Technologies Sdn Bhd,Data Solution Specialist,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.8,No info for Company Benefits,1-10 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
AIA Digital+ Malaysia,Automation Engineer - Digital Security,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Education support
Sports (e.g. Gym)
Miscellaneous allowance
Dental
Vision","101-1,000 employees",Consulting & Strategy,Kuala Lumpur
Infosys (Malaysia) Sdn. Bhd.,Senior Consultant,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,No info for Company Benefits,1-10 employees,Information & Communication Technology,Penang
Samtec Asia Pacific (M) Sdn Bhd,HDR Test Engineer,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.3,"Medical
Dental
Vision","101-1,000 employees","Manufacturing, Transport & Logistics","Perai, Penang"
Princeton Digital Group (Singapore) SG1 Pte Ltd,Process Engineer / Manager,No info for Job Salary,Full time,Process Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Sedenak, Johor"
TDCX Malaysia,Systems and Database Manager,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),3.5,"Medical
Miscellaneous allowance
Dental
Vision
Incentive, Bonus and Commission Plan, Life-long Le","1,001-5,000 employees",Information & Communication Technology,Kuala Lumpur
FrogAsia Sdn Bhd (a YTL Company),Senior Data Analyst,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4,"Medical
Dental
Data Plan and Phone",51-100 employees,Computer Software & Networking,"Bukit Bintang, Kuala Lumpur"
De Stijl Technology Network International Sdn Bhd,Cloud Engineer (AWS),"RM 9,000 - RM 13,000 per month",Full time,Engineering - Network (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Aethir,Technical Sourcer/Recruiter,No info for Job Salary,Full time,Recruitment - Internal (Human Resources & Recruitment),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
People Profilers Pte Ltd,Cloud System Developer,"RM 10,000 - RM 15,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Puchong, Selangor"
Cargill Holdings (Malaysia) Sdn Bhd,Master Data Specialist (1 year contract),No info for Job Salary,Full time,Records Management & Document Control (Administration & Office Support),4,Medical,"More than 10,000 employees","Manufacturing, Transport & Logistics",Kuala Lumpur
Ingram Micro Malaysia Sdn Bhd,Solution Architect - AI,No info for Job Salary,Full time,Consultants (Information & Communication Technology),4,"Medical
Dental
Vision
Sports (e.g. Badminton)","101-1,000 employees",Computer Software & Networking,"Petaling, Selangor"
SEEK,Senior Growth Analyst (Hybrid Working),No info for Job Salary,Full time,Analysts (Consulting & Strategy),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
TDCX Philippines,Systems and Database Manager,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),3.5,"Medical
Miscellaneous allowance
Dental
Vision
Incentive, Bonus and Commission Plan, Life-long Le","1,001-5,000 employees",Information & Communication Technology,Kuala Lumpur
Selangor Human Resource Development Centre (SHRDC),Oracle SQL Associate - Certification Training,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.1,"Medical
Miscellaneous allowance
Education support",11-50 employees,Education & Training,Selangor
Infineon Technologies (Malaysia) Sdn Bhd,Staff Technician Preventive Maintenance Testing,No info for Job Salary,Full time,Maintenance (Engineering),4.4,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision","1,001-5,000 employees",Consumer Electronics Manufacturing,Melaka
GENPACT MALAYSIA SDN. BHD.,Cloud Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.2,"Medical
Education support
Dental
Vision","101-1,000 employees",Information & Communication Technology,"Bandar Sunway, Selangor"
STYLUS ASIA SDN BHD,Database Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance",11-50 employees,Consulting Services,"Kuala Lumpur City Centre, Kuala Lumpur"
Zurich Insurance Malaysia Berhad,Business Intelligence Support,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.1,"Miscellaneous allowance
Monthly Incentive, Free Oversea Convention",11-50 employees,Insurance,Kuala Lumpur
"Data Science, Data Analytics, Engineering, Risk Management, Security","Software Engineer, Backend - Content Moderation Team",No info for Job Salary,Full time,Web & Interaction Design (Design & Architecture),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Prudential Assurance Malaysia Berhad,"Manager, Data Platform",No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.1,No info for Company Benefits,11-50 employees,Insurance,Kuala Lumpur
Extreme Broadband Sdn. Bhd.,Presales Engineer (Data Center Industry),No info for Job Salary,Full time,Consultants (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Parking
Vision
Quarterly office outing",51-100 employees,Telecommunications & Internet Service Providers,Putrajaya
Encora Technologies Sdn Bhd,Cloud Solution Specialist,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.8,No info for Company Benefits,1-10 employees,Computer Software & Networking,Kuala Lumpur
Jabil Circuit Sdn Bhd,EDI Developer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,1-10 employees,"Manufacturing, Transport & Logistics",Penang
AirAsia,"Senior Executive, Sustainability",No info for Job Salary,Full time,Environment & Sustainability Consulting (Consulting & Strategy),4.3,"Dental
Medical
Staff discount for Flights and many more","101-1,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
Encora Technologies Sdn Bhd,Salesforce Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),3.8,No info for Company Benefits,1-10 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
CHERY CORPORATE MALAYSIA SDN. BHD.,Automotive VTA / Homologation Manager,No info for Job Salary,Full time,Automotive Trades (Trades & Services),No info for Company Review,"Medical
Parking",11-50 employees,Retail & Consumer Products,Kuala Lumpur
Dexcom,Supervisor Manufacturing,No info for Job Salary,Full time,"Team Leaders/Supervisors (Manufacturing, Transport & Logistics)",3.7,"Medical
Dental","1,001-5,000 employees","Manufacturing, Transport & Logistics","Batu Kawan, Penang"
SMT Technologies Sdn Bhd,Software Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),3.7,"Medical
Miscellaneous allowance
Parking
Vision
Performance Merit-based Increment , Bonus","1,001-5,000 employees","Manufacturing, Transport & Logistics","Sungai Petani, Kedah"
ENVISION DIGITAL TECHNOLOGIES SDN BHD,Software Engineer,"RM 4,000 - RM 6,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,"Medical
Dental
Parking
13th Month Salary (Annual Wages Supplement), Offic",11-50 employees,Computer Software & Networking,"Bangsar South, Kuala Lumpur"
Oracle Corporation Malaysia Sdn. Bhd.,Solution Architect - Cloud Native,No info for Job Salary,Full time,Account & Relationship Management (Sales),3.9,No info for Company Benefits,1-10 employees,Computer Software & Networking,Kuala Lumpur
Malaysian Communications and Multimedia Commission,"Executive, Central Monitoring 1",No info for Job Salary,Full time,Management (Engineering),4.7,"Annual Leave, Medical, SOCSO & Personal Accident","101-1,000 employees",Government & Defence,"Cyberjaya, Selangor"
ENVISION DIGITAL TECHNOLOGIES SDN BHD,Software Developer (Java),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,"Medical
Dental
Parking
13th Month Salary (Annual Wages Supplement), Offic",11-50 employees,Computer Software & Networking,Kuala Lumpur
ENVIROS SURVEY & CONSULTANCY SDN. BHD.,Geophysicist,"RM 6,700 - RM 10,000 per month",Full time,"Environmental, Earth & Geosciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Kit Loong Commercial Tyre Sdn Bhd,Sales Engineer,"RM 5,000 - RM 7,000 per month",Full time,Account & Relationship Management (Sales),4.2,"Medical
Dental","101-1,000 employees",Services,"Kota Kemuning, Selangor"
Daikin Malaysia Sdn Bhd,Internship for Product Marketing,No info for Job Salary,Full time,Product Management & Development (Marketing & Communications),4,"Medical, Dental, Transport, Parking, Education Sup","101-1,000 employees",Retail & Consumer Products,"Sungai Buloh, Selangor"
Jabil Sdn Bhd (Global Business Center),Internship for IT Department (Computing/Software/Programming/Data),"RM 1,000 - RM 1,200 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,1-10 employees,"Manufacturing, Transport & Logistics",Penang
UEM Edgenta Berhad,"Graduate Trainee, Diploma Drawing / Electrical (Hospital Cyberjaya)",No info for Job Salary,Contract/Temp,Engineering Drafting (Engineering),4.2,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Parking
Vision","1,001-5,000 employees",Construction,"Cyberjaya, Selangor"
Celestica,"Associate Engineer, Electrical Design",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
Agilent Technologies LDA Malaysia Sdn. Bhd.,R&D Technician (Outsourced Contract),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.2,"Medical
Education support
Dental
Sports (e.g. Gym)
Parking
Vision
Executive Health Screening, Marriage & New Born Gi","101-1,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
Versa Manufacturing Sdn Bhd,TEST ENGINEER,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,"Medical
Dental
Parking
Annual Dinner, Festive Celebration Events, Insuran","101-1,000 employees","Manufacturing, Transport & Logistics","Sungai Petani, Kedah"
Lumileds Malaysia Sdn Bhd,Intern - Industrial Engineering,No info for Job Salary,Full time,Industrial Engineering (Engineering),4,"Medical
Miscellaneous allowance
Dental
Parking
Vision
Service Awards","More than 10,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
Jabil Sdn Bhd (Global Business Center),ME/SMT/Equipment/Process Engineer,No info for Job Salary,Full time,Process Engineering (Engineering),No info for Company Review,No info for Company Benefits,1-10 employees,"Manufacturing, Transport & Logistics","Sungai Petani, Kedah"
